Job,Company,Location,Date,Link
medico general trabajo remoto,jorge zamora romero,"san miguel, lima",2022-01-15,https://www.bumeran.com.pe/empleos/medico-general-trabajo-remoto-jorge-zamora-romero-1114917759.html
analista programador de sistemas,consultora treball s.a.c.,"chorrillos, lima",2022-01-15,https://www.bumeran.com.pe/empleos/analista-programador-de-sistemas-consultora-treball-s.a.c.-1114917753.html
practicante profesional de gestión social,compañia minera antamina,"huari, ancash",2022-01-15,https://www.bumeran.com.pe/empleos/practicante-profesional-de-gestion-social-compania-minera-antamina-1114917736.html
practicante prepro de selección y rp,compartamos financiera s.a.,"lima, lima",2022-01-15,https://www.bumeran.com.pe/empleos/practicante-pre-pro-de-seleccion-y-rp-compartamos-financiera-s.a.-1114917648.html
practicante pre profesional de contabilidad,confidencial,"lima, lima",2022-01-15,https://www.bumeran.com.pe/empleos/practicante-pre-profesional-de-contabilidad-1114917649.html
auxiliar de almacén cercado de lima,new athletic,"cercado de lima, lima",2022-01-15,https://www.bumeran.com.pe/empleos/auxiliar-de-almacen-cercado-de-lima-new-athletic-1114917621.html
practicante de contabilidad,corporacion peruana de aeropuertos y aviacion comercial s.a - corpac s.a..,"lima, lima",2022-01-15,https://www.bumeran.com.pe/empleos/practicante-de-contabilidad-corporacion-peruana-de-aeropuertos-y-aviacion-comercial-s.a-corpac-s.a..-1114917479.html
practicantebachiller de ingeniería civil,alejandro alvarez,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-bachiller-de-ingenieria-civil-alejandro-alvarez-1114823282.html
practicante pre profesional pds automotriz,grupo pana,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-pre-profesional-pds-automotriz-grupo-pana-1114917420.html
encargado de pase ayudante de cocina,bumeran selecta,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/encargado-de-pase-ayudante-de-cocina-bumeran-selecta-1114917414.html
ingeniero de software cloud líder técnico,experis,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/ingeniero-de-software-cloud-lider-tecnico-experis-1114917411.html
practicante profesional de marketing miraflores 15551,manpower perú,"miraflores, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-profesional-de-marketing-miraflores-15551-manpower-peru-1114917407.html
practicante profesional de derecho lima ref 18962,manpower perú,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-profesional-de-derecho-lima-ref-18962-manpower-peru-1114917355.html
operador camión minero shougang,san martin contratistas generales,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/operador-camion-minero-shougang-san-martin-contratistas-generales-1114917239.html
practicante de operaciones,perufarma s.a.,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-de-operaciones-perufarma-s.a.-1114917231.html
practicante legal,stracon s.a.,"san isidro, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-legal-stracon-s.a.-1114917214.html
practicante profesional de control documentario,arcadis,"lima, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-profesional-de-control-documentario-arcadis-1114917207.html
practicante de asuntos regulatorios,abbott,"san isidro, lima",2022-01-14,https://www.bumeran.com.pe/empleos/practicante-de-asuntos-regulatorios-abbott-1114917188.html
