company,date,job,link,location,opened,site
alignet s.a.c.,2022-01-25,practicante de implementación,https://www.bumeran.com.pe/empleos/practicante-de-implementacion-alignet-s.a.c.-1114938682.html,"miraflores, lima",False,Bumeran
mibanco,2022-01-25,analista senior de parámetros de riesgos,https://www.bumeran.com.pe/empleos/analista-senior-de-parametros-de-riesgos-mibanco-1114937499.html,"lima, lima",False,Bumeran
indra peru,2022-01-25,analista de datos,https://www.bumeran.com.pe/empleos/analista-de-datos-indra-peru-1114937328.html,"lima, lima",False,Bumeran
protecta security,2022-01-25,consultor técnico actuarial,https://www.bumeran.com.pe/empleos/consultor-tecnico-actuarial-protecta-security-1114937212.html,"surquillo, lima",False,Bumeran
intercorp retail,2022-01-25,data engineer jr indigital xp,https://www.bumeran.com.pe/empleos/data-engineer-jr.-indigital-xp-intercorp-retail-1114936931.html,"lima, lima",False,Bumeran
talent target s.a.c.,2022-01-25,programador,https://www.bumeran.com.pe/empleos/programador-talent-target-s.a.c.-1114391965.html,"lima, lima",False,Bumeran
adecco consulting,2022-01-24,practicante preprofesional de data analytics riesgo crediticio,https://www.bumeran.com.pe/empleos/practicante-preprofesional-de-data-analytics-riesgo-crediticio-adecco-consulting-1114935926.html,"la molina, lima",False,Bumeran
michael page perú,2022-01-24,tech product owner lead,https://www.bumeran.com.pe/empleos/tech-product-owner-lead-michael-page-peru-1114935471.html,"lima, lima",False,Bumeran
net partners,2022-01-24,microstrategy,https://www.bumeran.com.pe/empleos/microstrategy-net-partners-1114935314.html,"lima, lima",False,Bumeran
indra peru,2022-01-24,"recien egresado carrera ingeniería sistemas, informática, afin",https://www.bumeran.com.pe/empleos/recien-egresado-carrera-ingenieria-sistemas-informatica-afin-indra-peru-1114934435.html,"lima, lima",False,Bumeran
rimac cia de seguros y reaseguros s.a.,2022-01-24,data scientist data scrapping,https://www.bumeran.com.pe/empleos/data-scientist-data-scrapping-rimac-cia-de-seguros-y-reaseguros-s.a.-1114934207.html,"lima, lima",False,Bumeran
zoluxiones sac,2022-01-24,analista de base de datosremoto,https://www.bumeran.com.pe/empleos/analista-de-base-de-datos-remoto-zoluxiones-sac-1114934145.html,"lima, lima",False,Bumeran
clinica internacional,2022-01-22,analista junior de data science,https://www.bumeran.com.pe/empleos/analista-junior-de-data-science-clinica-internacional-1114932233.html,"lima, lima",False,Bumeran
confidencial,2022-01-21,analista programador,https://www.bumeran.com.pe/empleos/analista-programador-1114932111.html,"lima, lima",False,Bumeran
skf del peru,2022-01-21,practicante profesional bi,https://www.bumeran.com.pe/empleos/practicante-profesional-bi-skf-del-peru-1114930754.html,"lima, lima",False,Bumeran
csti corp,2022-01-20,programador php junior,https://www.bumeran.com.pe/empleos/programador-php-junior-csti-corp-1114929038.html,"santiago de surco, lima",False,Bumeran
pricewaterhousecoopers,2022-01-20,analista de auditoria de sistemas ti,https://www.bumeran.com.pe/empleos/analista-de-auditoria-de-sistemas-ti-pricewaterhousecoopers-1114928886.html,"san isidro, lima",False,Bumeran
