company,date,job,link,location,opened,site
panakia consulting,2022-01-31,operario redes mt/bt,https://pe.indeed.com/company/Panakia-Consulting/jobs/Operario-redes-mt-bt-997b9b7478600f22?fccid=8c8e4d3258c43b05&vjs=3,"distrito de lima, lima",False,Indeed
netcore solutions sac,2022-01-31,prevencionista de riesgo (pdr),https://pe.indeed.com/company/INTEGRADOR-TECNOLOGICO-SAC/jobs/Prevencionista-riesgo-b76b1cb69c0f8d78?fccid=8fa735827d59d40a&vjs=3,"callao, callao",False,Indeed
panakia consulting,2022-01-31,operario redes mt/bt,https://pe.indeed.com/company/Panakia-Consulting/jobs/Operario-redes-mt-bt-997b9b7478600f22?fccid=8c8e4d3258c43b05&vjs=3,"distrito de lima, lima",False,Indeed
netcore solutions sac,2022-01-31,prevencionista de riesgo (pdr),https://pe.indeed.com/company/INTEGRADOR-TECNOLOGICO-SAC/jobs/Prevencionista-riesgo-b76b1cb69c0f8d78?fccid=8fa735827d59d40a&vjs=3,"callao, callao",False,Indeed
panakia consulting,2022-01-31,operario obras civiles,https://pe.indeed.com/company/Panakia-Consulting/jobs/Operario-obras-civiles-184027e8bf7c8239?fccid=8c8e4d3258c43b05&vjs=3,"distrito de lima, lima",False,Indeed
trayéctor,2022-01-31,asistente de innovación empresarial,https://pe.indeed.com/company/ITL-SOLUCIONES-INTEGRALES-S.A.C/jobs/Asistente-innovaci%C3%B3n-empresarial-71c76fc5f49c5410?fccid=221180c056f25cec&vjs=3,"arequipa, arequipa",False,Indeed
tecfordata sac,2022-01-31,practicante pre profesional - área comercial y marketing,https://pe.indeed.com/company/TECFORDATA-SAC/jobs/Practicante-pre-profesional-de0068ddce61513c?fccid=7efef733c9c534e0&vjs=3,"santa anita, lima",False,Indeed
enrique champac ingenieros sac,2022-01-31,"practicas adminstracion tecnic@s senati, institutos o univ e...",https://pe.indeed.com/rc/clk?cmp=ENRIQUE-CHAMPAC-INGENIEROS-SAC&ti=Practicas+adminstracion+tecnic%40s+senati&jk=4e0da231f7c76a89&fccid=4e2625a7ac9733be&vjs=3,"lima, lima",False,Indeed
omnitech trading sac,2022-01-31,practicante de preventa tecnológica (ti),https://pe.indeed.com/company/Omnitech-Trading-SAC/jobs/Practicante-preventa-tecnol%C3%B3gica-1cbe52c1bdbb3803?fccid=fa6d80cad91eb448&vjs=3,"san isidro, lima",False,Indeed
procesadora peru sac,2022-01-30,practicante gestión ambiental,https://pe.indeed.com/rc/clk?jk=48312c5b75278931&fccid=a5633078535bed11&vjs=3,"chiclayo, lambayeque",False,Indeed
procesadora peru sac,2022-01-30,practicante de sig,https://pe.indeed.com/rc/clk?jk=90fa54f02363c3ea&fccid=a5633078535bed11&vjs=3,"chiclayo, lambayeque",False,Indeed
netaxion chile-perú,2022-01-31,trabajadora social,https://pe.indeed.com/company/Netaxion-Chile--Per%C3%BA/jobs/Trabajadora-social-0ca005f8ba5eb69b?fccid=39404457c67fdc04&vjs=3,"arequipa, arequipa",False,Indeed
deyfor e.i. r. ltda.,2022-01-30,supervisor civil / sistemas de bombeo - tuberías pipping,https://pe.indeed.com/rc/clk?jk=b9d229284fe74de8&fccid=ce35e31772d39cb9&vjs=3,"cajamarca, cajamarca",False,Indeed
company,date,job,link,location,opened,site
danper trujillo sac,2022-01-31,mecánicoa eléctrico de mantenimiento dirigido a mujeres y hombres planta fresco alto salaverry,https://www.computrabajo.com.pe/ofertas-de-trabajo/oferta-de-trabajo-de-mecanicoa-electrico-de-mantenimiento-dirigido-a-mujeres-y-hombres-planta-fresco-alto-salaverry-en-trujillo-E88C99167382FD6261373E686DCF3405,"la libertad, trujillo",False,Computrabajo
inmobiliaria almpamayo,2022-01-31,"esp eléctrico , ing electrónico colegiado con exp en obra",https://www.computrabajo.com.pe/ofertas-de-trabajo/oferta-de-trabajo-de-esp-electrico-ing-electronico-colegiado-con-exp-en-obra-en-santiago-de-surco-5FFDF9A74053783B61373E686DCF3405,"lima, santiago de surco",False,Computrabajo
cantalloc sac,2022-01-31,prevencionista de seguridad y salud ocupacional ica,https://www.computrabajo.com.pe/ofertas-de-trabajo/oferta-de-trabajo-de-prevencionista-de-seguridad-y-salud-ocupacional-ica-en-ica-7A1FDF10BD36CF8261373E686DCF3405,"ica, ica",False,Computrabajo
confipetrol andina s.a.,2022-01-31,ingeniero mantenimiento predictivo oil gas talara 5x2,https://www.computrabajo.com.pe/ofertas-de-trabajo/oferta-de-trabajo-de-ingeniero-mantenimiento-predictivo-oil-gas-talara-5x2-en-parinas-31FBF35219407AAD61373E686DCF3405,"piura, pariñas",False,Computrabajo
